Model Name,Estimator Class,ModelType,Full Class Path,Primary Key,Part_2,Part_3,Part_4,Part_5
DecisionTreeRegressor,<class 'sklearn.tree._classes.DecisionTreeRegressor'>,regressor,<class 'sklearn.tree._classes.DecisionTreeRegressor'>,sklearn.tree._classes.DecisionTreeRegressor,tree,_classes,DecisionTreeRegressor,
DummyRegressor,<class 'sklearn.dummy.DummyRegressor'>,regressor,<class 'sklearn.dummy.DummyRegressor'>,sklearn.dummy.DummyRegressor,dummy,DummyRegressor,,
ElasticNet,<class 'sklearn.linear_model._coordinate_descent.ElasticNet'>,regressor,<class 'sklearn.linear_model._coordinate_descent.ElasticNet'>,sklearn.linear_model._coordinate_descent.ElasticNet,linear_model,_coordinate_descent,ElasticNet,
ElasticNetCV,<class 'sklearn.linear_model._coordinate_descent.ElasticNetCV'>,regressor,<class 'sklearn.linear_model._coordinate_descent.ElasticNetCV'>,sklearn.linear_model._coordinate_descent.ElasticNetCV,linear_model,_coordinate_descent,ElasticNetCV,
ExtraTreeRegressor,<class 'sklearn.tree._classes.ExtraTreeRegressor'>,regressor,<class 'sklearn.tree._classes.ExtraTreeRegressor'>,sklearn.tree._classes.ExtraTreeRegressor,tree,_classes,ExtraTreeRegressor,
ExtraTreesRegressor,<class 'sklearn.ensemble._forest.ExtraTreesRegressor'>,regressor,<class 'sklearn.ensemble._forest.ExtraTreesRegressor'>,sklearn.ensemble._forest.ExtraTreesRegressor,ensemble,_forest,ExtraTreesRegressor,
GammaRegressor,<class 'sklearn.linear_model._glm.glm.GammaRegressor'>,regressor,<class 'sklearn.linear_model._glm.glm.GammaRegressor'>,sklearn.linear_model._glm.glm.GammaRegressor,linear_model,_glm,glm,GammaRegressor
GaussianProcessRegressor,<class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>,regressor,<class 'sklearn.gaussian_process._gpr.GaussianProcessRegressor'>,sklearn.gaussian_process._gpr.GaussianProcessRegressor,gaussian_process,_gpr,GaussianProcessRegressor,
GradientBoostingRegressor,<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,regressor,<class 'sklearn.ensemble._gb.GradientBoostingRegressor'>,sklearn.ensemble._gb.GradientBoostingRegressor,ensemble,_gb,GradientBoostingRegressor,
HistGradientBoostingRegressor,<class 'sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingRegressor'>,regressor,<class 'sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingRegressor'>,sklearn.ensemble._hist_gradient_boosting.gradient_boosting.HistGradientBoostingRegressor,ensemble,_hist_gradient_boosting,gradient_boosting,HistGradientBoostingRegressor
HuberRegressor,<class 'sklearn.linear_model._huber.HuberRegressor'>,regressor,<class 'sklearn.linear_model._huber.HuberRegressor'>,sklearn.linear_model._huber.HuberRegressor,linear_model,_huber,HuberRegressor,
IsotonicRegression,<class 'sklearn.isotonic.IsotonicRegression'>,regressor,<class 'sklearn.isotonic.IsotonicRegression'>,sklearn.isotonic.IsotonicRegression,isotonic,IsotonicRegression,,
KNeighborsRegressor,<class 'sklearn.neighbors._regression.KNeighborsRegressor'>,regressor,<class 'sklearn.neighbors._regression.KNeighborsRegressor'>,sklearn.neighbors._regression.KNeighborsRegressor,neighbors,_regression,KNeighborsRegressor,
KernelRidge,<class 'sklearn.kernel_ridge.KernelRidge'>,regressor,<class 'sklearn.kernel_ridge.KernelRidge'>,sklearn.kernel_ridge.KernelRidge,kernel_ridge,KernelRidge,,
Lars,<class 'sklearn.linear_model._least_angle.Lars'>,regressor,<class 'sklearn.linear_model._least_angle.Lars'>,sklearn.linear_model._least_angle.Lars,linear_model,_least_angle,Lars,
LarsCV,<class 'sklearn.linear_model._least_angle.LarsCV'>,regressor,<class 'sklearn.linear_model._least_angle.LarsCV'>,sklearn.linear_model._least_angle.LarsCV,linear_model,_least_angle,LarsCV,
Lasso,<class 'sklearn.linear_model._coordinate_descent.Lasso'>,regressor,<class 'sklearn.linear_model._coordinate_descent.Lasso'>,sklearn.linear_model._coordinate_descent.Lasso,linear_model,_coordinate_descent,Lasso,
LassoCV,<class 'sklearn.linear_model._coordinate_descent.LassoCV'>,regressor,<class 'sklearn.linear_model._coordinate_descent.LassoCV'>,sklearn.linear_model._coordinate_descent.LassoCV,linear_model,_coordinate_descent,LassoCV,
LassoLars,<class 'sklearn.linear_model._least_angle.LassoLars'>,regressor,<class 'sklearn.linear_model._least_angle.LassoLars'>,sklearn.linear_model._least_angle.LassoLars,linear_model,_least_angle,LassoLars,
LassoLarsCV,<class 'sklearn.linear_model._least_angle.LassoLarsCV'>,regressor,<class 'sklearn.linear_model._least_angle.LassoLarsCV'>,sklearn.linear_model._least_angle.LassoLarsCV,linear_model,_least_angle,LassoLarsCV,
LassoLarsIC,<class 'sklearn.linear_model._least_angle.LassoLarsIC'>,regressor,<class 'sklearn.linear_model._least_angle.LassoLarsIC'>,sklearn.linear_model._least_angle.LassoLarsIC,linear_model,_least_angle,LassoLarsIC,
